V52	8.80674546626596e-07
V31	8.26294058369555e-08
V50	8.06146996268613e-06
Nitration	6.44645818196764e-06
V35	4.16199823490161e-05
V29	2.97702291285295e-05
V40	2.0306468362512e-05
Ubiquinone biosynthesis	1.77909361627642e-05
Fungicide	1.25054202209578e-05
V51	1.09221663306627e-05
V2	0.0179503683712142
V3	0.0140037415908592
V4	0.0111529088863757
V5	0.0102764201713189
V7	0.00708685482492152
V6	0.00618250908283547
V8	0.00612424224797133
V9	0.00549919586542252
V10	0.00394473907295699
V11	0.00362866986087005
V13	0.00249126744651614
V12	0.00240429848083403
V15	0.00152442364428498
V14	0.00144054280060056
V16	0.00119569371442774
V17	0.00110777798114679
V18	0.00105908149936463
V19	0.000976314554604908
V21	0.000923619958734017
V20	0.000878811250007843
V22	0.000856306605044519
V23	0.000773564561958229
V25	0.000474479066256875
V24	0.000370932812044187
V26	0.000275446160002736
V27	0.000247392975942653
V28	0.000209339756183961
Hemoglobin-binding	-9.94614773939541e-06
ATP-binding	-9.85848488312514e-06
Complement activation lectin pathway	-9.82529054203892e-06
Ligase	-9.69644219303741e-07
Inositol biosynthesis	-9.69309922177148e-05
ATP synthesis	-9.40039281422036e-06
Glutathione biosynthesis	-9.34871404030256e-05
Endosome	-9.3437757118922e-05
Selenium	-9.04228022478789e-05
Bile acid catabolism	-9.03791194732483e-05
Peptide transport	-9.02132502943512e-05
Membrane attack complex	-9.01912423442895e-05
Copper	-9.0162628001292e-05
Zinc-finger	-9.00207972450486e-06
Terminal addition	-8.99912874547101e-06
Amino-acid biosynthesis	-8.95838688848193e-06
Catecholamine metabolism	-8.84259058332652e-06
Ribosomal frameshifting	-8.69567612276354e-06
GPI-anchor	-8.62715032022818e-05
Thick filament	-8.62659918277785e-05
Endocytosis	-8.61492588949095e-06
Ubiquinone	-8.59905635708458e-05
Blood group antigen	-8.54204885377286e-06
IgA-binding protein	-8.52345036507599e-05
Ubl conjugation	-8.39715932069554e-05
Copper transport	-8.12927942414688e-05
Spermatogenesis	-8.12846824855168e-05
Sodium/potassium transport	-8.08050849592197e-05
Purine biosynthesis	-7.99951890702101e-06
Cleavage on pair of basic residues	-7.91338199395363e-05
Cobalamin	-7.89881717237395e-05
Tricarboxylic acid cycle	-7.81503250789196e-05
Apoptosis	-7.72166446251818e-05
Muscle protein	-7.71641058320374e-05
GMP biosynthesis	-7.64089654294326e-05
Differentiation	-7.551472608615e-05
Pyrimidine biosynthesis	-7.54430468028762e-05
Keratin	-7.37199499963453e-06
Angiogenesis	-7.21512076058509e-06
Isoprene biosynthesis	-7.06027905785319e-06
Aminopeptidase	-6.971248109636e-05
Immunity	-6.863717274362e-06
Repressor	-6.84807236271868e-05
Neurotransmitter	-6.78617404777229e-05
Ribosomal protein	-6.6250417525128e-05
Threonine protease	-6.59203568629399e-05
mRNA transport	-6.57362491043808e-06
Cyclosporin	-6.53675531150141e-06
Osteogenesis	-6.41340533864099e-06
Vasoconstrictor	-6.38307839179293e-05
Biomineralization	-6.35278168678732e-05
Ubl conjugation pathway	-6.30318082459137e-05
Glycogen metabolism	-6.25626271223304e-05
RNA editing	-6.07556463766485e-05
NADP	-5.9816785110192e-05
Peroxidase	-5.85715612163432e-05
Cholesterol metabolism	-5.72745913446006e-06
Autocatalytic cleavage	-5.69305119862475e-06
Signalosome	-5.68358028886306e-06
Tryptophan catabolism	-5.68049627916882e-06
DNA excision	-5.58909759110683e-05
Activator	-5.49573609757744e-05
Aromatic hydrocarbons catabolism	-5.36507227212696e-06
Myogenesis	-5.34992486374523e-06
MHC I	-5.32831749464534e-06
Mineral balance	-5.31703960173364e-05
Cysteine biosynthesis	-5.26547174715289e-05
FMN	-5.23734710529729e-06
Signal	-5.21726389662002e-05
Tetrahydrobiopterin biosynthesis	-5.1875947937196e-06
GTPase activation	-5.161315429811e-06
Translocation	-5.12368199010878e-06
Heparan sulfate	-5.09394635294311e-06
Oogenesis	-4.94490773707315e-05
Biological rhythms	-4.80294950204429e-06
Lipid-binding	-4.74311616528625e-05
Neurogenesis	-4.74265507744453e-05
Methyltransferase	-4.73337224201909e-05
Methionine biosynthesis	-4.70930432343209e-06
Pyrrolidone carboxylic acid	-4.58852133517781e-06
Glutamine amidotransferase	-4.58669600543734e-06
RNA-mediated gene silencing	-4.57472919752183e-06
Cilium biogenesis/degradation	-4.45378405746756e-05
Tyrosine-protein kinase	-4.35145741305855e-06
Lithium	-4.24993572711897e-06
MHC II	-4.24501590940992e-05
Microsome	-4.23781297358396e-06
Nucleotide metabolism	-4.23669029572199e-06
B-cell activation	-4.23257328793277e-06
Sialic acid	-4.22771139194174e-05
Prenyltransferase	-4.0702441711494e-05
V30	-3.91489859496211e-07
DNA-directed DNA polymerase	-3.88689419912966e-05
Signal-anchor	-3.78957104113599e-06
Galactose metabolism	-3.75153203408854e-05
2Fe-2S	-3.74412456805855e-06
cAMP-binding	-3.73863870984239e-06
Kringle	-3.68169970714002e-06
Transport	-3.61653218257703e-05
Steroidogenesis	-3.60921516081962e-05
Proline metabolism	-3.52553322394581e-05
Antibiotic	-3.51710667073777e-05
Mannose-binding	-3.51035263691931e-05
Activation of host autophagy by virus	-3.48781096105722e-06
Steroid-binding	-3.45632439689278e-06
Nucleus	-3.42277491377511e-06
Mitochondrion	-3.39216270520115e-05
Golgi apparatus	-3.38086644752638e-05
Carbohydrate metabolism	-3.35882209666821e-05
Phagocytosis	-3.32991258054832e-06
Catecholamine biosynthesis	-3.26909648257526e-05
Quinone	-3.23374137691454e-05
Mitochondrion outer membrane	-3.21170791746107e-06
Transferase	-3.08982463803653e-05
Hormone	-3.03581178161405e-05
Zinc transport	-3.02071135182886e-05
Cell membrane	-3.00344807025652e-05
DNA condensation	-2.99721805764707e-05
Ribosome biogenesis	-2.99241275070812e-05
Neurotransmitter transport	-2.99059733373011e-05
Cell adhesion	-2.97906099004282e-05
Neurotransmitter degradation	-2.97720033352927e-05
Lectin	-2.97034078244057e-05
Endoplasmic reticulum	-2.94760279443055e-06
tRNA processing	-2.93239954466462e-06
Growth factor binding	-2.90723730105496e-06
S-nitrosylation	-2.79187215456385e-05
Melatonin biosynthesis	-2.7656958323493e-05
Symport	-2.74453700014482e-05
Hypotensive agent	-2.70671299178946e-05
Gamma-carboxyglutamic acid	-2.69508301706626e-05
Topoisomerase	-2.59123553644296e-06
tRNA-binding	-2.56248766169769e-05
NAD	-2.55997004249585e-05
Chromosome	-2.53110141009477e-05
Proteoglycan	-2.52413686413217e-05
Calcium channel	-2.51021386246303e-06
Sulfation	-2.48010403738342e-06
Nonsense-mediated mRNA decay	-2.45490236111744e-06
Cell shape	-2.44352988906765e-05
Biotin	-2.41673751203219e-06
Urea cycle	-2.40240420410848e-06
Acyltransferase	-2.39848313144013e-06
Translation regulation	-2.34646259228936e-05
Direct protein sequencing	-2.34062197795449e-05
Signal transduction inhibitor	-2.327882974302e-05
Fertilization	-2.32767692470089e-05
Wnt signaling pathway	-2.30844761498385e-05
Porphyrin biosynthesis	-2.27732757240476e-05
Sexual differentiation	-2.23445710431464e-05
DNA replication	-2.22795043818046e-06
Glycoprotein	-2.20553116216942e-06
Peroxisome biogenesis	-2.12942732125997e-06
Immunoglobulin V region	-2.10495352492134e-06
Guanine-nucleotide releasing factor	-2.07165961636899e-05
Mast cell degranulation	-2.06268427073487e-06
Branched-chain amino acid biosynthesis	-2.04632338405354e-06
Heparin-binding	-2.0278954222864e-06
Dipeptidase	-2.0175932583251e-06
Acetylation	-1.99936398278699e-06
Ligand-gated ion channel	-1.97117394296074e-05
Protein transport	-1.96710515182477e-05
Kinetochore	-1.94354647591455e-05
V57	-1.86730965723992e-06
V65	-1.85382595029851e-06
V63	-1.84937385580383e-06
V56	-1.84687505848225e-06
V59	-1.84276252911857e-06
V60	-1.84229880276207e-06
V64	-1.84008204975143e-06
Schiff base	-1.83895051780176e-05
V58	-1.8350626408366e-06
V61	-1.82950985528599e-06
Length	-1.82571973724699e-06
Antiport	-1.81455507752242e-06
Aminotransferase	-1.81426413669159e-05
Vacuole	-1.81046964995231e-06
SH3 domain	-1.80988101068141e-06
Glycation	-1.80629183202044e-05
Cobalt	-1.80126442504797e-06
Repeat	-1.79920791889591e-06
Serine biosynthesis	-1.78575409494134e-06
V55	-1.77819772606734e-06
Iron	-1.77420418402566e-05
Autophagy	-1.76413890134685e-05
Exocytosis	-1.76405872362685e-05
Glycosyltransferase	-1.76151082435186e-05
Triplet repeat expansion	-1.75897578062007e-06
Telomere	-1.75668242573925e-05
cGMP	-1.75277886393749e-05
Neuropeptide	-1.74630019688938e-05
V54	-1.62500293940137e-06
Lactation	-1.62256322767132e-05
V53	-1.46235279588837e-06
Pyridoxine biosynthesis	-1.42467092197602e-05
V47	-1.39432531536398e-06
Laminin EGF-like domain	-1.38877786001414e-05
V45	-1.37566679651845e-06
V49	-1.37557919661513e-06
Asparagine biosynthesis	-1.37194523419111e-05
Defensin	-1.34942697560276e-05
Taste	-1.33464081334164e-05
V44	-1.31649659443225e-06
V41	-1.31461133720909e-06
Vision	-1.28986694812586e-05
V37	-1.28563992082297e-06
V42	-1.28439011517383e-06
V38	-1.27304126137832e-06
V36	-1.27303607716791e-06
Primosome	-1.2684344262294e-05
V43	-1.25560509389999e-06
V62	-1.25216999529587e-06
V39	-1.24283973006268e-06
rRNA-binding	-1.20892216839567e-05
SH3-binding	-1.17700048326304e-05
Meiosis	-1.17375257233378e-05
Fatty acid biosynthesis	-1.14796222385966e-05
V34	-1.13083587955556e-06
Signal recognition particle	-1.12127018945961e-05
V33	-1.09453027479946e-06
Hydroxylation	-1.09007065180258e-05
V32	-1.08253264375208e-06
Fatty acid metabolism	-1.05650685860042e-05
Menaquinone biosynthesis	-1.03540830205667e-05
Phospholipase A2 inhibitor	-1.024154217343e-05
Polymorphism	-0.012861005460534
Bait region	-0.0117253255463374
Chromatin regulator	-0.0110268065670286
Glycolysis	-0.0104213865555442
Ammonia transport	-0.00974498115937102
Pyridoxal phosphate	-0.00835439888130476
Zymogen	-0.00791893484390594
Acute phase	-0.00751096500296929
Intermediate filament	-0.00688582591614575
DNA recombination	-0.00645224670567008
Vasoactive	-0.00577655030613004
Lipid droplet	-0.00535981226793689
Cytoplasmic vesicle	-0.00531945482173537
Serine/threonine-protein kinase	-0.00516365317723743
Growth arrest	-0.00461767842114912
Membrane	-0.00443304368038331
Chloride channel	-0.00423311835803731
Iron storage	-0.00394364187151908
